"pid","trial","rule","rule_nr","rule_re","condition","trial_order","test","shape_var","colour_var","report_test"
"1","23","There are exactly three square-shaped rocks.","18","Shape","1","2","7","1","1","Have tested 3 green and purple squares, just checking if red has an impact"
"1","23","There are exactly three square-shaped rocks.","18","Shape","1","2","8","2","1","Checking if the sticks maybe work with it, I know that triangles didn't but want to confirm"
"1","8","There is exactly one square-shaped rock.","6","Shape","1","3","1","1","1","NULL"
"1","8","There is exactly one square-shaped rock.","6","Shape","1","3","2","1","1","Checking if adding another rock still allows the reaction to happen"
"1","8","There is exactly one square-shaped rock.","6","Shape","1","3","3","1","1","Checking if colour has an impact"
"1","8","There is exactly one square-shaped rock.","6","Shape","1","3","4","1","1","Checking colour again, making sure it also happens with red"
"1","8","There is exactly one square-shaped rock.","6","Shape","1","3","5","1","1","Seeing if shape has an impact, or if it's just quantity"
"1","8","There is exactly one square-shaped rock.","6","Shape","1","3","6","1","1","Same as before, but trying with stick instead of triangle"
"1","8","There is exactly one square-shaped rock.","6","Shape","1","3","7","3","1","Checking just in case this also works"
"1","8","There is exactly one square-shaped rock.","6","Shape","1","3","8","3","1","Trying same as before but with a different colour"
"2","17","There are exactly two square-shaped rocks.","12","Shape","1","1","1","1","1","NULL"
"2","17","There are exactly two square-shaped rocks.","12","Shape","1","1","2","1","1","I saw this test in the example and copied it to check if this test was viable for the experiment as it caused radiation in the example "
"2","17","There are exactly two square-shaped rocks.","12","Shape","1","1","3","2","1","So two purple squares cause radiation and now i want to know if other purple shape hinder the two squares "
"2","17","There are exactly two square-shaped rocks.","12","Shape","1","1","4","2","1","Now im testing a purple triangle to see if a larger purple shape also produces radiation with the two squares "
"2","17","There are exactly two square-shaped rocks.","12","Shape","1","1","5","1","1","this will ensure that 3 purple objects can produce radiation of the same shape"
"2","17","There are exactly two square-shaped rocks.","12","Shape","1","1","6","1","1","I want to check if 2 squares of pink also produce radiation to see if they are equal to purple squares"
"2","17","There are exactly two square-shaped rocks.","12","Shape","1","1","7","1","1","to see if 2 green squares are also able to produce radiation"
"2","17","There are exactly two square-shaped rocks.","12","Shape","1","1","8","1","1","I'm now testing if two triangles are able to produce radiation"
"2","23","There are exactly three green rocks.","14","Colour","1","2","1","1","1","NULL"
"2","23","There are exactly three green rocks.","14","Colour","1","2","2","1","1","I want to see if fewer green rocks produce radiation"
"2","23","There are exactly three green rocks.","14","Colour","1","2","3","1","1","I want to see if 3 purple rocks are equal to green rocks "
"2","23","There are exactly three green rocks.","14","Colour","1","2","4","1","1","I want to see if pink rocks are equal to green rocks of the same quantity"
"2","23","There are exactly three green rocks.","14","Colour","1","2","5","3","1","I want to see if this combination of green rocks is strong enough to produce radiation"
"2","23","There are exactly three green rocks.","14","Colour","1","2","6","1","1","I want to see if 3 rectangles are as strong as three squares in green"
"2","23","There are exactly three green rocks.","14","Colour","1","2","7","1","1","I want to know if rectangles in other colours can produce radiation to see if rectangles are stronger than squares"
"2","23","There are exactly three green rocks.","14","Colour","1","2","8","1","1","i think colour more than shape may determine radiation so checking if 3 green triangle produce radiation"
"2","0","There is exactly one stick-shaped rock.","4","Shape","1","3","1","1","1","NULL"
"2","0","There is exactly one stick-shaped rock.","4","Shape","1","3","2","1","1","Im testing to see if equal sized shapes of different colours produce radiation"
"2","0","There is exactly one stick-shaped rock.","4","Shape","1","3","3","1","1","im testes to see if a purple rectangle will produce radiation like pink and green"
"2","0","There is exactly one stick-shaped rock.","4","Shape","1","3","4","1","1","Im checking to see if a different shaped single pink rock produces radiation"
"2","0","There is exactly one stick-shaped rock.","4","Shape","1","3","5","2","1","Im checking if combinations of pink rocks which include a single pink rectangle still produce radiation"
"2","0","There is exactly one stick-shaped rock.","4","Shape","1","3","6","1","3","I want to see if colour makes a difference to radiation being produced"
"2","0","There is exactly one stick-shaped rock.","4","Shape","1","3","7","1","3","Im checking if colour stops radiation being produced in other shapes"
"2","0","There is exactly one stick-shaped rock.","4","Shape","1","3","8","1","1","I want to test if a single triangle can produce radiation"
"3","26","There are exactly three purple rocks.","15","Colour","3","1","1","1","1","NULL"
"3","26","There are exactly three purple rocks.","15","Colour","3","1","2","1","3","To see if its the shape or the colour or the number of rocks related to being square"
"3","26","There are exactly three purple rocks.","15","Colour","3","1","3","1","1","It did not work with different colours so now i want to see if it’s only purple"
"3","26","There are exactly three purple rocks.","15","Colour","3","1","4","1","1","See if purple X3 is the rule"
"3","26","There are exactly three purple rocks.","15","Colour","3","1","5","1","1","If all purple shapes cause radiation"
"3","26","There are exactly three purple rocks.","15","Colour","3","1","6","3","1","To see if the shales have to be the same"
"3","26","There are exactly three purple rocks.","15","Colour","3","1","7","1","1","I know the rule"
"3","26","There are exactly three purple rocks.","15","Colour","3","1","8","2","1","I know the rule"
"3","13","There are exactly two triangle-shaped rocks.","11","Shape","3","2","1","1","1","NULL"
"3","13","There are exactly two triangle-shaped rocks.","11","Shape","3","2","2","1","1","To see if it 2 green shapes"
"3","13","There are exactly two triangle-shaped rocks.","11","Shape","3","2","3","1","1","If it is triangles"
"3","13","There are exactly two triangle-shaped rocks.","11","Shape","3","2","4","1","1","Checj it works with pink"
"3","13","There are exactly two triangle-shaped rocks.","11","Shape","3","2","5","1","2","Do they have to be the same colour? "
"3","13","There are exactly two triangle-shaped rocks.","11","Shape","3","2","6","1","3","Can 3 work? "
"3","13","There are exactly two triangle-shaped rocks.","11","Shape","3","2","7","1","2","I know the rule"
"3","13","There are exactly two triangle-shaped rocks.","11","Shape","3","2","8","1","2","I know the rule"
"3","8","There is exactly one square-shaped rock.","6","Shape","3","3","1","1","1","NULL"
"3","8","There is exactly one square-shaped rock.","6","Shape","3","3","2","1","1","Is it only purple? "
"3","8","There is exactly one square-shaped rock.","6","Shape","3","3","3","2","2","See if it is focusing on the square"
"3","8","There is exactly one square-shaped rock.","6","Shape","3","3","4","1","1","To see if it can only be 1 square
"
"3","8","There is exactly one square-shaped rock.","6","Shape","3","3","5","3","2","Can I add 2 additional shapes?"
"3","8","There is exactly one square-shaped rock.","6","Shape","3","3","6","2","2","Do the other shapes matter,"
"3","8","There is exactly one square-shaped rock.","6","Shape","3","3","7","1","2","Checking 2 squares"
"3","8","There is exactly one square-shaped rock.","6","Shape","3","3","8","3","2","I know the rules"
"4","8","There is exactly one purple rock.","3","Colour","2","1","1","1","1","NULL"
"4","8","There is exactly one purple rock.","3","Colour","2","1","2","1","1","two square shapes cause radiation, so I added another square to make this happen"
"4","8","There is exactly one purple rock.","3","Colour","2","1","3","1","1","Adding two squares didnt work so left it as 1 square as it has a yellow star in the example"
"4","8","There is exactly one purple rock.","3","Colour","2","1","4","1","1","i expect radiation to occur as it is just 1 square needed"
"4","8","There is exactly one purple rock.","3","Colour","2","1","5","1","1","radiation will occur as only need 1 square"
"4","8","There is exactly one purple rock.","3","Colour","2","1","6","1","1","not sure whether radiation will occur as differ colour"
"4","8","There is exactly one purple rock.","3","Colour","2","1","7","1","1","not sure whether radiation will occur as it is not a purple square"
"4","8","There is exactly one purple rock.","3","Colour","2","1","8","1","1","will cause radiation"
"4","20","There are exactly three square-shaped rocks.","18","Shape","2","2","1","1","1","NULL"
"4","20","There are exactly three square-shaped rocks.","18","Shape","2","2","2","1","1","just trying 1 pink square to check whether radiation occurs"
"4","20","There are exactly three square-shaped rocks.","18","Shape","2","2","3","1","2","needed to check whether having 3 of the same colour makes a difference"
"4","20","There are exactly three square-shaped rocks.","18","Shape","2","2","4","1","3","finding out whether colour of the square influences radiation"
"4","20","There are exactly three square-shaped rocks.","18","Shape","2","2","5","1","1","expect radiation as 3 squares"
"4","20","There are exactly three square-shaped rocks.","18","Shape","2","2","6","1","1","expect radiation as 3 squares"
"4","20","There are exactly three square-shaped rocks.","18","Shape","2","2","7","2","1","trying another shape to see if this causes radiation"
"4","20","There are exactly three square-shaped rocks.","18","Shape","2","2","8","2","1","trying shapes to determine whether triangle would cause radiation
"
"4","10","There are exactly two triangle-shaped rocks.","11","Shape","2","3","1","1","1","NULL"
"4","10","There are exactly two triangle-shaped rocks.","11","Shape","2","3","2","1","1","triangles testing colour"
"4","10","There are exactly two triangle-shaped rocks.","11","Shape","2","3","3","1","1","testing colour"
"4","10","There are exactly two triangle-shaped rocks.","11","Shape","2","3","4","3","2","testing shapes"
"4","10","There are exactly two triangle-shaped rocks.","11","Shape","2","3","5","1","1","whether 1 triangle causes radiation"
"4","10","There are exactly two triangle-shaped rocks.","11","Shape","2","3","6","1","2","whether 2 different shapes cause radiation"
"4","10","There are exactly two triangle-shaped rocks.","11","Shape","2","3","7","1","1","2 different shapes same colour"
"4","10","There are exactly two triangle-shaped rocks.","11","Shape","2","3","8","1","1","different shapes same colour"
"5","18","There are exactly three stick-shaped rocks.","16","Shape","2","1","1","1","1","NULL"
"5","18","There are exactly three stick-shaped rocks.","16","Shape","2","1","2","1","1","Whether the rock arrangement causes radiation, to replicate the radiation"
"5","18","There are exactly three stick-shaped rocks.","16","Shape","2","1","3","1","1","3 rocks of the same colour"
"5","18","There are exactly three stick-shaped rocks.","16","Shape","2","1","4","2","1","two rectangle rocks"
"5","18","There are exactly three stick-shaped rocks.","16","Shape","2","1","5","3","1","at least one rectangle rock"
"5","18","There are exactly three stick-shaped rocks.","16","Shape","2","1","6","1","1","3 rectangle rocks"
"5","18","There are exactly three stick-shaped rocks.","16","Shape","2","1","7","1","1","3 rectangle rocks"
"5","18","There are exactly three stick-shaped rocks.","16","Shape","2","1","8","1","1","the same as the example
 "
"5","4","There is exactly one green rock.","2","Colour","2","2","1","1","1","NULL"
"5","4","There is exactly one green rock.","2","Colour","2","2","2","1","1","One triangle"
"5","4","There is exactly one green rock.","2","Colour","2","2","3","1","1","One blue rock"
"5","4","There is exactly one green rock.","2","Colour","2","2","4","1","1","One blue rock"
"5","4","There is exactly one green rock.","2","Colour","2","2","5","1","1","One red rock"
"5","4","There is exactly one green rock.","2","Colour","2","2","6","3","1","One traingle "
"5","4","There is exactly one green rock.","2","Colour","2","2","7","3","2","already found the rule"
"5","4","There is exactly one green rock.","2","Colour","2","2","8","2","2","One traingle rock"
"5","9","There are exactly two stick-shaped rocks.","10","Shape","2","3","1","1","1","NULL"
"5","9","There are exactly two stick-shaped rocks.","10","Shape","2","3","2","1","1","Two of the same rectangle"
"5","9","There are exactly two stick-shaped rocks.","10","Shape","2","3","3","1","1","Same as before"
"5","9","There are exactly two stick-shaped rocks.","10","Shape","2","3","4","1","1","Two of the same shape and colour"
"5","9","There are exactly two stick-shaped rocks.","10","Shape","2","3","5","1","2","To of the same shape"
"5","9","There are exactly two stick-shaped rocks.","10","Shape","2","3","6","1","2","Same as before"
"5","9","There are exactly two stick-shaped rocks.","10","Shape","2","3","7","2","2","Two of the same shape at least"
"5","9","There are exactly two stick-shaped rocks.","10","Shape","2","3","8","2","3","Two of the same rectangle shape"
"6","25","There are exactly three purple rocks.","15","Colour","2","1","1","1","1","NULL"
"6","25","There are exactly three purple rocks.","15","Colour","2","1","2","1","3","Whether radiation was caused by the shape, independently of the colour"
"6","25","There are exactly three purple rocks.","15","Colour","2","1","3","3","1","Whether radiation was caused by colour, independent of the shape"
"6","25","There are exactly three purple rocks.","15","Colour","2","1","4","3","1","Whether the radiation was caused by the combination of shapes - stick, triangle, square"
"6","25","There are exactly three purple rocks.","15","Colour","2","1","5","1","3","To see whether the square will cause radiation, independent of colour"
"6","25","There are exactly three purple rocks.","15","Colour","2","1","6","1","3","In error. I tried to click them to remove them, but this feature did not work, so I pressed test to continue with the experiement
"
"6","25","There are exactly three purple rocks.","15","Colour","2","1","7","1","3","To see if stick shape causes radiation independent of colour"
"6","25","There are exactly three purple rocks.","15","Colour","2","1","8","1","1","Three purple triangles causes radiation. does one?"
"6","16","There are exactly two triangle-shaped rocks.","11","Shape","2","2","1","1","1","NULL"
"6","16","There are exactly two triangle-shaped rocks.","11","Shape","2","2","2","1","1","two purple triangles causes radiation. how about two sticks"
"6","16","There are exactly two triangle-shaped rocks.","11","Shape","2","2","3","1","1","two purple triangle causes radiation, how about two green triangles?"
"6","16","There are exactly two triangle-shaped rocks.","11","Shape","2","2","4","1","1","two green triangles - and - two purple triangles causes radiation. does two red triangles? if yes then a rule is two triangles of same colour causes radiation"
"6","16","There are exactly two triangle-shaped rocks.","11","Shape","2","2","5","1","2","To see if triangles of different colour cause radiation, or only of the same colour"
"6","16","There are exactly two triangle-shaped rocks.","11","Shape","2","2","6","1","1","So we know a rule now that two triangles of the same colour cause radiation, but not true for two sticks of the same colour. how about two squares?"
"6","16","There are exactly two triangle-shaped rocks.","11","Shape","2","2","7","1","2","to check two different colours and rule out confusion with other unidentified rule. predicting it will cause radiation"
"6","16","There are exactly two triangle-shaped rocks.","11","Shape","2","2","8","1","2","confirm the rule that any two triangles cause radiation"
"6","5","There is exactly one square-shaped rock.","6","Shape","2","3","1","1","1","NULL"
"6","5","There is exactly one square-shaped rock.","6","Shape","2","3","2","1","1","to see if the shape causes radiation"
"6","5","There is exactly one square-shaped rock.","6","Shape","2","3","3","1","1","confirm shape causes radiation"
"6","5","There is exactly one square-shaped rock.","6","Shape","2","3","4","1","1","to see if the rule is one square on its own causes radiation "
"6","5","There is exactly one square-shaped rock.","6","Shape","2","3","5","1","1","to see if any one shape on it's own will cause radiation"
"6","5","There is exactly one square-shaped rock.","6","Shape","2","3","6","1","1","to see if stick on its own causes radiation"
"6","5","There is exactly one square-shaped rock.","6","Shape","2","3","7","1","1","to see if adding further bricks causes radiation"
"6","5","There is exactly one square-shaped rock.","6","Shape","2","3","8","1","1","to finish the experiment"
"7","4","There is exactly one triangle-shaped rock.","5","Shape","2","1","1","1","1","NULL"
"7","4","There is exactly one triangle-shaped rock.","5","Shape","2","1","2","1","1","I wanted to check whether a triangle shape was enough to cause the radiation"
"7","4","There is exactly one triangle-shaped rock.","5","Shape","2","1","3","1","1","two green triangles observed so far, it looks likely it follows that particular pattern"
"7","4","There is exactly one triangle-shaped rock.","5","Shape","2","1","4","1","1","again I'm following the same pattern"
"7","4","There is exactly one triangle-shaped rock.","5","Shape","2","1","5","1","1","just continuing to follow this pattern"
"7","4","There is exactly one triangle-shaped rock.","5","Shape","2","1","6","1","1","a continuation of the same pattern until it doesn't work"
"7","4","There is exactly one triangle-shaped rock.","5","Shape","2","1","7","1","1","the same pattern works over and over again"
"7","4","There is exactly one triangle-shaped rock.","5","Shape","2","1","8","1","1","it's just the same shape over and over again"
"7","26","There are exactly three square-shaped rocks.","18","Shape","2","2","1","1","1","NULL"
"7","26","There are exactly three square-shaped rocks.","18","Shape","2","2","2","1","1","I just wanted to test one square first "
"7","26","There are exactly three square-shaped rocks.","18","Shape","2","2","3","1","1","now I'm testing two because one didn't work "
"7","26","There are exactly three square-shaped rocks.","18","Shape","2","2","4","1","1","Not I'm making sure three works"
"7","26","There are exactly three square-shaped rocks.","18","Shape","2","2","5","1","2","now I believe three squares is the right amount I'm trying a different colour"
"7","26","There are exactly three square-shaped rocks.","18","Shape","2","2","6","1","2","now I'm trying two of the green colour that worked in the previous experiment "
"7","26","There are exactly three square-shaped rocks.","18","Shape","2","2","7","1","1","now I'm seeing if all three blue squares will work"
"7","26","There are exactly three square-shaped rocks.","18","Shape","2","2","8","1","1","now I'm trying three red "
"7","15","There are exactly two stick-shaped rocks.","10","Shape","2","3","1","1","1","NULL"
"7","15","There are exactly two stick-shaped rocks.","10","Shape","2","3","2","1","2","I'm trying two rectangles of different colours to see if it needs two and if the colours can be interchanged"
"7","15","There are exactly two stick-shaped rocks.","10","Shape","2","3","3","1","1","now I'm trying two of the game colour "
"7","15","There are exactly two stick-shaped rocks.","10","Shape","2","3","4","1","1","now I'm trying two purple as I haven't tried this colour"
"7","15","There are exactly two stick-shaped rocks.","10","Shape","2","3","5","1","2","now I'm trying one purple one red to see if that works"
"7","15","There are exactly two stick-shaped rocks.","10","Shape","2","3","6","1","2","now I'm trying purple green to see if that combination works"
"7","15","There are exactly two stick-shaped rocks.","10","Shape","2","3","7","1","2","seeing if the red and then blue combination makes a difference rather than blue then red"
"7","15","There are exactly two stick-shaped rocks.","10","Shape","2","3","8","1","1","i haven't tried two reds"
"8","2","There is exactly one square-shaped rock.","6","Shape","1","1","1","1","1","NULL"
"8","2","There is exactly one square-shaped rock.","6","Shape","1","1","2","1","1","The red square worked on its own  so I am trying a different coloured square"
"8","2","There is exactly one square-shaped rock.","6","Shape","1","1","3","1","1","I am seeing if all 3 squares are radioactive"
"8","2","There is exactly one square-shaped rock.","6","Shape","1","1","4","1","1","trying a different red shape"
"8","2","There is exactly one square-shaped rock.","6","Shape","1","1","5","1","1","trying all the red shapes"
"8","2","There is exactly one square-shaped rock.","6","Shape","1","1","6","1","3","trying all the squares together"
"8","2","There is exactly one square-shaped rock.","6","Shape","1","1","7","1","2","trying square combinations"
"8","2","There is exactly one square-shaped rock.","6","Shape","1","1","8","1","2","trying different square combinations"
"8","18","There are exactly three red rocks.","13","Colour","1","2","1","1","1","NULL"
"8","18","There are exactly three red rocks.","13","Colour","1","2","2","1","3","trying different colour rectangles"
"8","18","There are exactly three red rocks.","13","Colour","1","2","3","2","2","trying 2 rectangles and a different shape"
"8","18","There are exactly three red rocks.","13","Colour","1","2","4","1","1","seeing how many red rectangles needed"
"8","18","There are exactly three red rocks.","13","Colour","1","2","5","1","1","seeing if 2 red rectangles needed for radiation"
"8","18","There are exactly three red rocks.","13","Colour","1","2","6","1","1","seeing if three red objects counts"
"8","18","There are exactly three red rocks.","13","Colour","1","2","7","1","1","does three different coloured objects count"
"8","18","There are exactly three red rocks.","13","Colour","1","2","8","1","1","does three rectangles count"
"8","9","There are exactly two stick-shaped rocks.","10","Shape","1","3","1","1","1","NULL"
"8","9","There are exactly two stick-shaped rocks.","10","Shape","1","3","2","1","1","trying one red rectangle"
"8","9","There are exactly two stick-shaped rocks.","10","Shape","1","3","3","1","2","trying different coloured rectangles"
"8","9","There are exactly two stick-shaped rocks.","10","Shape","1","3","4","1","1","trying two different shapes"
"8","9","There are exactly two stick-shaped rocks.","10","Shape","1","3","5","1","2","trying non red rectangles"
"8","9","There are exactly two stick-shaped rocks.","10","Shape","1","3","6","2","2","trying 2 rectangles, which works, with an extra shape at the end"
"8","9","There are exactly two stick-shaped rocks.","10","Shape","1","3","7","2","3","tryinf different patterns"
"8","9","There are exactly two stick-shaped rocks.","10","Shape","1","3","8","2","2","random test, not sure why"
"9","17","There are exactly two square-shaped rocks.","12","Shape","1","1","1","1","1","NULL"
"9","17","There are exactly two square-shaped rocks.","12","Shape","1","1","2","1","2","Is there a requirement for 2 purple square?
Is there radiation only when squares are present?"
"9","17","There are exactly two square-shaped rocks.","12","Shape","1","1","3","1","1","Is radiation caused by two squares?
Even if they are of different colour?"
"9","17","There are exactly two square-shaped rocks.","12","Shape","1","1","4","1","1","Can radiation be caused by 2 green squares?"
"9","17","There are exactly two square-shaped rocks.","12","Shape","1","1","5","1","2","What if the squares are of different colour?"
"9","17","There are exactly two square-shaped rocks.","12","Shape","1","1","6","1","2","Do I need to have have two identical shapes that can be of different colour?"
"9","17","There are exactly two square-shaped rocks.","12","Shape","1","1","7","1","1","What about shapes different from squares that have the same colour?"
"9","17","There are exactly two square-shaped rocks.","12","Shape","1","1","8","1","2","Do the shapes need to have 4 sides?"
"9","1","There is exactly one red rock.","1","Colour","1","2","1","1","1","NULL"
"9","1","There is exactly one red rock.","1","Colour","1","2","2","1","1","Single triangle of different colour"
"9","1","There is exactly one red rock.","1","Colour","1","2","3","1","1","One square of the same colour as the triangle that caused radiation"
"9","1","There is exactly one red rock.","1","Colour","1","2","4","1","1","One stick of the same colour of the triangle and square that caused radiation"
"9","1","There is exactly one red rock.","1","Colour","1","2","5","3","1","Can all the red shapes cause radiation?"
"9","1","There is exactly one red rock.","1","Colour","1","2","6","1","1","Can a purple triangle cause radiation?"
"9","1","There is exactly one red rock.","1","Colour","1","2","7","2","1","Can two red shapes cause radiation?"
"9","1","There is exactly one red rock.","1","Colour","1","2","8","2","1","Can a red triangle and stick cause radiation?"
"9","20","There are exactly three square-shaped rocks.","18","Shape","1","3","1","1","1","NULL"
"9","20","There are exactly three square-shaped rocks.","18","Shape","1","3","2","1","1","Can radiation be caused by three squares, independently of their colour?"
"9","20","There are exactly three square-shaped rocks.","18","Shape","1","3","3","1","3","Can three different colour squares cause radiation?"
"9","20","There are exactly three square-shaped rocks.","18","Shape","1","3","4","1","1","Can three identical triangles cause radiation?"
"9","20","There are exactly three square-shaped rocks.","18","Shape","1","3","5","1","1","Do four-sided identical shapes cause radiation?"
"9","20","There are exactly three square-shaped rocks.","18","Shape","1","3","6","1","1","Do all three-square combination cause radiation?"
"9","20","There are exactly three square-shaped rocks.","18","Shape","1","3","7","1","1","Can a single square cause radiation?"
"9","20","There are exactly three square-shaped rocks.","18","Shape","1","3","8","1","1","Do two or more squares cause radiation?"
"10","15","There are exactly two stick-shaped rocks.","10","Shape","1","1","1","1","1","NULL"
"10","15","There are exactly two stick-shaped rocks.","10","Shape","1","1","2","1","3","Followed the shape format but tried different colours"
"10","15","There are exactly two stick-shaped rocks.","10","Shape","1","1","3","2","1","Went with same colour but tried different shape too"
"10","15","There are exactly two stick-shaped rocks.","10","Shape","1","1","4","2","1","Again followed same colour but added a different shape again"
"10","15","There are exactly two stick-shaped rocks.","10","Shape","1","1","5","1","1","Stayed with same colour as this was successful and tried all same shape"
"10","15","There are exactly two stick-shaped rocks.","10","Shape","1","1","6","2","1","Tried doubling a different shape but all same colour"
"10","15","There are exactly two stick-shaped rocks.","10","Shape","1","1","7","2","1","Again tried a different double shape sequence and added the stick one"
"10","15","There are exactly two stick-shaped rocks.","10","Shape","1","1","8","2","1","Tried a different mix of shapes all same colour"
"10","26","There are exactly three purple rocks.","15","Colour","1","2","1","1","1","NULL"
"10","26","There are exactly three purple rocks.","15","Colour","1","2","2","3","1","Tested of all colour sequence worked"
"10","26","There are exactly three purple rocks.","15","Colour","1","2","3","1","1","again tried all colour but changed shape"
"10","26","There are exactly three purple rocks.","15","Colour","1","2","4","1","1","stayed with all colour but tried another different shape"
"10","26","There are exactly three purple rocks.","15","Colour","1","2","5","1","1","Tried same as before but added a different shape again"
"10","26","There are exactly three purple rocks.","15","Colour","1","2","6","2","1","Tried differing the shapes in same sequence"
"10","26","There are exactly three purple rocks.","15","Colour","1","2","7","2","1","Tried same format as before"
"10","26","There are exactly three purple rocks.","15","Colour","1","2","8","2","1","Same as before but different shapes this time"
"10","4","There is exactly one green rock.","2","Colour","1","3","1","1","1","NULL"
"10","4","There is exactly one green rock.","2","Colour","1","3","2","1","1","tried same shape but differeny colour"
"10","4","There is exactly one green rock.","2","Colour","1","3","3","1","1","Red didnt work so trying green"
"10","4","There is exactly one green rock.","2","Colour","1","3","4","1","1","Tried green again"
"10","4","There is exactly one green rock.","2","Colour","1","3","5","1","1","tried increasing number of shapes"
"10","4","There is exactly one green rock.","2","Colour","1","3","6","1","1","tried blue as hadnt tested this"
"10","4","There is exactly one green rock.","2","Colour","1","3","7","2","1","green worked before so tried different combination of shapes"
"10","4","There is exactly one green rock.","2","Colour","1","3","8","1","1","Making sure this works"
"11","24","There are exactly three purple rocks.","15","Colour","3","1","1","1","1","NULL"
"11","24","There are exactly three purple rocks.","15","Colour","3","1","2","3","1","The rocks are of the same colour. I just realised they were also the same shape "
"11","24","There are exactly three purple rocks.","15","Colour","3","1","3","1","1","All the rocks are purple in colour "
"11","24","There are exactly three purple rocks.","15","Colour","3","1","4","2","1","Purple sets off the radiation"
"11","24","There are exactly three purple rocks.","15","Colour","3","1","5","2","1","They are all purple "
"11","24","There are exactly three purple rocks.","15","Colour","3","1","6","3","1","all purple colours the shape does not matter "
"11","24","There are exactly three purple rocks.","15","Colour","3","1","7","1","1","Purple colours "
"11","24","There are exactly three purple rocks.","15","Colour","3","1","8","3","1","Doesn't matter what the shape of the rock is just the colour "
"11","12","There are exactly two green rocks.","8","Colour","3","2","1","1","1","NULL"
"11","12","There are exactly two green rocks.","8","Colour","3","2","2","1","2","Same shape on the planet "
"11","12","There are exactly two green rocks.","8","Colour","3","2","3","3","2","Same 2 colours observed?"
"11","12","There are exactly two green rocks.","8","Colour","3","2","4","2","2","At least 2 of the rocks have to be of the same colour "
"11","12","There are exactly two green rocks.","8","Colour","3","2","5","3","2","2 of the rocks have to be green to set off radiation "
"11","12","There are exactly two green rocks.","8","Colour","3","2","6","3","1","I added an extra green rock to see if it's that all the rocks have to be green or just 2"
"11","12","There are exactly two green rocks.","8","Colour","3","2","7","2","2","only 2 of the rocks have to be green "
"11","12","There are exactly two green rocks.","8","Colour","3","2","8","2","2","Changed up the shapes"
"11","8","There is exactly one square-shaped rock.","6","Shape","3","3","1","1","1","NULL"
"11","8","There is exactly one square-shaped rock.","6","Shape","3","3","2","1","3","Maybe having one square shape in purple? "
"11","8","There is exactly one square-shaped rock.","6","Shape","3","3","3","2","3","Testing to see if colour affects the study or it is the shape "
"11","8","There is exactly one square-shaped rock.","6","Shape","3","3","4","3","2","Seeing if there only has to be a square and trying to see if colour is a factor "
"11","8","There is exactly one square-shaped rock.","6","Shape","3","3","5","3","2","I have observed that one shape needs to be a square and that the colour does not matter "
"11","8","There is exactly one square-shaped rock.","6","Shape","3","3","6","2","2","it is definitely one square in the mix "
"11","8","There is exactly one square-shaped rock.","6","Shape","3","3","7","3","3","One square creates radiation "
"11","8","There is exactly one square-shaped rock.","6","Shape","3","3","8","3","2","One square is the key to radiation "
"12","16","There are exactly two purple rocks.","9","Colour","3","1","1","1","1","NULL"
"12","16","There are exactly two purple rocks.","9","Colour","3","1","2","2","1","3 shapes of the same colour cause radiation "
"12","16","There are exactly two purple rocks.","9","Colour","3","1","3","1","1","two shapes of purple cause radiation"
